idTrialType,sTrialType,nRange_ROMpercent,nIC_ROMpercent,nRange_idDOF
1,w_pro_90,,,
2,w_sup_90,,,
3,w_flx_add_90,,,
4,w_ext_abd_90,,,
5,h_close_90,,,
6,h_open_90,,,
7,h_close_w_pro_90,,,
8,h_open_w_pro_90,,,
9,h_close_w_sup_90,,,
10,h_open_w_sup_90,,,
11,h_close_w_flx_icw_sup_90,,,
12,h_open_w_ext_icw_pro_90,,,
13,h_open_thumb_flx_90,,,
14,w_pro_45,,,
15,w_sup_45,,,
16,w_flx_add_45,,,
17,w_ext_abd_45,,,
18,h_close_45,,,
19,h_open_45,,,
20,h_close_w_pro_45,,,
21,h_open_w_pro_45,,,
22,h_close_w_sup_45,,,
23,h_open_w_sup_45,,,
24,h_close_w_flx_icw_sup_45,,,
25,h_open_w_ext_icw_pro_45,,,
26,h_open_thumb_flx_45,,,
27,w_pro_0,,,
28,w_sup_0,,,
29,w_flx_add_0,,,
30,w_ext_abd_0,,,
31,h_close_0,,,
32,h_open_0,,,
33,h_close_w_pro_0,,,
34,h_open_w_pro_0,,,
35,h_close_w_sup_0,,,
36,h_open_w_sup_0,,,
37,h_close_w_flx_icw_sup_0,,,
38,h_open_w_ext_icw_pro_0,,,
39,h_open_thumb_flx_0,,,
40,w_pro_ext,,,
41,w_sup_ext,,,
42,w_flx_add_ext,,,
43,w_ext_abd_ext,,,
44,h_close_ext,,,
45,h_open_ext,,,
46,h_close_w_pro_ext,,,
47,h_open_w_pro_ext,,,
48,h_close_w_sup_ext,,,
49,h_open_w_sup_ext,,,
50,h_close_w_flx_icw_sup_ext,,,
51,h_open_w_ext_icw_pro_ext,,,
52,h_open_thumb_flx_ext,,,
53,w_pro_flx,,,
54,w_sup_flx,,,
55,w_flx_add_flx,,,
56,w_ext_abd_flx,,,
57,h_close_flx,,,
58,h_open_flx,,,
59,h_close_w_pro_flx,,,
60,h_open_w_pro_flx,,,
61,h_close_w_sup_flx,,,
62,h_open_w_sup_flx,,,
63,h_close_w_flx_icw_sup_flx,,,
64,h_open_w_ext_icw_pro_flx,,,
65,h_open_thumb_flx_flx,,,