sBody,nMass,sNote,sBlock,nLength,nDim1,nDim2
H,2.8812,humerus,cylinder,0.3404,0.0525,
U,1.3591,ulna,cylinder,0.1922,0.0384,
R,0.2873,radius,cylinder,0.0749,0.0384,
MC,0.3396,metacarpals excluding,box,0.1156,0.093,0.036
P1,0.0274,metacarpal thumb,cylinder,0.0667,0.0104,
P1M,0.0247,thumb central,cylinder,0.044,0.0101,
P1D,0.0192,thumb distal,cylinder,0.0312,0.0095,
P2,0.0225,index finger proximal,cylinder,0.0399,0.0104,
P2M,0.0192,index finger central,cylinder,0.0289,0.0101,
P2D,0.0181,index finger distal,cylinder,0.0162,0.0095,
P3,0.028,middle finger proximal,cylinder,0.0415,0.0104,
P3M,0.022,middle finger central,cylinder,0.0301,0.0101,
P3D,0.0165,middle finger distal,cylinder,0.0168,0.0095,
P4,0.0198,ring finger proximal,cylinder,0.0391,0.0104,
P4M,0.015,ring finger central,cylinder,0.0283,0.0101,
P4D,0.0129,ring finger distal,cylinder,0.0158,0.0095,
P5,0.0167,pinky finger proximal,cylinder,0.0337,0.0104,
P5M,0.0102,pinky finger central,cylinder,0.0243,0.0101,
P5D,0.0093,pinky finger distal,cylinder,0.0136,0.0095,