sBody,nMass,sNote,sBlock,nLength,nDim1,nDim2
H,1.9976,humerus,cylinder,0.3,0.04,
RU,1.1053,radius/ulna,cylinder,0.3,0.04,
MC,0.3148,metacarpals excluding,box,0.0375,0.045,0.0125
P1,0.065,metacarpal thumb,cylinder,0.06,0.01,
P1M,0.0193,thumb central,cylinder,0.04,0.01,
P1D,0.0263,thumb distal,cylinder,0.036,0.01,
P2,0.0164,index finger proximal,cylinder,0.05,0.01,
P2M,0.0168,index finger central,cylinder,0.03,0.009,
P2D,0.0132,index finger distal,cylinder,0.0225,0.0075,
P3,0.0204,middle finger proximal,cylinder,0.06,0.01,
P3M,0.0168,middle finger central,cylinder,0.04,0.009,
P3D,0.012,middle finger distal,cylinder,0.025,0.0075,
P4,0.0144,ring finger proximal,cylinder,0.055,0.01,
P4M,0.0109,ring finger central,cylinder,0.035,0.009,
P4D,0.0094,ring finger distal,cylinder,0.025,0.0075,
P5,0.0122,pinky finger proximal,cylinder,0.045,0.01,
P5M,0.0074,pinky finger central,cylinder,0.025,0.009,
P5D,0.0068,pinky finger distal,cylinder,0.02,0.0075,